const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,22080.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,100.0,2.35,0.394,2.16,58.945,3.3963940810779,91.5384707848712,0.1,90.0,92.0,2.5,37.0,4.3
1.0,38290.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,92.7105575597704,99.8850365009352,100.0,2.35,4.248,7.71,72.292,5.50478804647942,90.6385058588077,0.3,95.0,94.0,2.5,22.4,4.3
1.0,540.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,17.7570796234108,49.2412888129489,15.6,2.35,0.049,0.5,18.598,49.647247988715,40.1883723817408,6.2,89.0,91.0,19.9,9.7,4.3
1.0,7180.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,93.0437426301311,100.0,2.35,0.394,2.16,64.76,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,20690.0,20.200000000000003,40.1,1407.48730469,95.12889642097434,94.83025645727861,4.056111670985595,100.0,97.9787370092362,100.0,6.84,0.394,2.16,73.179,1.97689691169873,93.8859147873012,0.4,99.0,99.0,2.5,32.2,4.3
1.0,76720.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,96.654816058767,99.936545083788,100.0,2.35,0.394,2.16,99.387,4.95048572778131,76.8900092385815,0.1,99.0,96.0,5.4,12.5,4.3
1.0,4470.0,20.200000000000003,40.1,194.05615234,95.12889642097434,94.83025645727861,3.92501087473821,47.9019041200159,84.7571618236724,98.0,0.96,0.394,2.16,48.614,24.281664665108,69.7491443602475,0.3,80.0,71.0,5.9,20.4,4.3
1.0,1680.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,43.119165338496,72.0,2.35,0.135,0.65,59.892,51.8162254693138,37.7262566860188,2.5,71.0,77.0,5.7,6.5,4.3
1.0,140280.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,99.9416526015971,100.0,2.35,0.394,2.16,100.0,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,74750.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,2.19099857819757,100.0,100.0,100.0,2.65,0.394,2.16,100.0,20.7052204629064,75.0212481147359,0.1,97.0,97.0,5.4,16.4,4.3
1.0,3760.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,74.8241993528604,87.5163486641307,100.0,2.35,0.394,2.16,65.643,8.9061293772705,84.1902894663775,0.1,98.0,96.0,6.9,13.0,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,73.3419919439661,77.9400742382936,100.0,2.2,0.552,2.047,45.0,18.2109373330241,72.7433195327289,0.2,97.0,98.0,5.4,18.7,4.3
1.0,28810.0,20.200000000000003,40.1,3228.43505859,96.2900009155273,97.8199996948242,4.056111670985595,98.9039755631804,100.0,100.0,2.35,0.394,2.16,89.999,5.00867408980183,86.0990092950325,0.1,99.0,96.0,5.4,15.0,4.3
1.0,8200.0,9.4,33.9,3228.43505859,99.620002746582,99.6800003051758,3.98011682083814,69.1418510304816,86.2580184560702,100.0,2.35,5.613,5.98,61.162,2.75314406500288,93.3455004497632,0.4,90.0,86.0,4.0,31.8,4.3
1.0,4430.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,85.7091310193345,97.1448857931036,100.0,1.38,0.394,2.16,92.206,10.01022905335,79.6060658555472,0.1,99.0,96.0,17.9,35.6,4.3
1.0,28700.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,97.0193826204319,99.0602205522915,100.0,2.35,0.394,2.16,70.019,3.58259932872953,92.1948909762529,0.7,83.0,81.0,2.5,28.3,4.3
1.0,48610.0,20.200000000000003,40.1,5366.77685547,95.12889642097434,94.83025645727861,4.056111670985595,99.8041470058874,99.1047902642941,100.0,2.35,3.174,9.151,84.884,8.1567751410004,88.1570765293416,0.4,89.0,92.0,2.5,14.2,4.3
1.0,49500.0,20.200000000000003,40.1,3228.43505859,98.4300003051758,98.8099975585938,4.056111670985595,81.94279215408704,99.0913054641249,100.0,1.98,0.394,2.16,88.008,7.09169127061723,77.0996232320676,0.1,98.0,96.0,2.7,9.0,4.3
1.0,12850.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.08979988098145,81.94279215408704,93.0437426301311,100.0,3.71,1.197,3.001,40.944,7.26439921820429,88.3814838404028,0.4,98.0,93.0,5.9,20.9,4.3
1.0,6430.0,28.0,45.2,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,67.0895117739847,92.2725010923607,98.7,1.3,0.394,2.16,65.029,12.3367929690456,76.2035026213013,0.4,74.0,70.0,13.9,10.2,4.5
