country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Germany,DEU,ECS,HIC,51.0,9.0,12.3,83510950.0,23.1955871731941,54960.0,,,6232.59130859,,,,99.9164119020981,99.2262037402876,100.0,,,,77.895,4.7599854163992,90.5983327596301,0.2,96.0,89.0,2.5,21.3,
Djibouti,DJI,MEA,LMC,,,7.456,1168722.0,4.85081139911801,3540.0,,,,,,,,66.9052134536498,65.2,,,,78.732,37.4138233548601,51.7746300342238,0.9,75.0,77.0,12.9,,
Dominica,DMA,LCN,UMC,,,12.763,66205.0,12.9559700928933,10220.0,,,,,,5.38572189060925,,,100.0,2.98,,,72.312,,,0.5,80.0,90.0,13.4,,
Denmark,DNK,ECS,HIC,56.0,10.0,9.8,5976992.0,20.8660704666167,73790.0,,,6432.37158203,,,,99.9188291924832,99.5972292400995,100.0,2.51,,,88.626,6.82614009736737,89.6578412938322,0.1,94.0,96.0,2.5,16.2,
Dominican Republic,DOM,LCN,UMC,19.0,-70.5,6.25,11427557.0,7.87947502690208,10280.0,19.0,39.0,,94.4300003051758,94.0299987792969,,44.9411768110773,88.6817918806029,99.6,,2.235,2.078,85.011,12.5757640797339,71.9343488283774,1.0,89.0,87.0,4.6,10.5,
Algeria,DZA,MEA,UMC,28.0,3.0,4.641,46814308.0,6.58221207266603,5320.0,,,,,,,70.5979339572563,85.8262893978246,100.0,,,,75.748,12.9844112787695,79.3555504278759,0.1,94.0,92.0,2.5,21.2,
Ecuador,ECU,LCN,UMC,-2.0,-77.5,5.128,18135478.0,8.34399866229053,6430.0,28.0,45.2,,,,,67.0895117739847,92.2725010923607,98.7,1.3,,,65.029,12.3367929690456,76.2035026213013,0.4,74.0,70.0,13.9,10.2,4.5
"Egypt, Arab Rep.",EGY,MEA,LMC,27.0,30.0,5.461,116538258.0,5.11629539338187,3510.0,,,,,,,,97.5287500099944,100.0,,,,43.258,9.62846081312771,85.6078303042361,0.1,97.0,97.0,8.5,24.7,
Eritrea,ERI,SSF,LIC,15.0,39.0,6.047,3535603.0,4.20287571879535,,,,,,,,,,54.4,,0.071,1.377,43.911,38.6445053843302,49.4781866614906,0.4,93.0,95.0,,,
Spain,ESP,ECS,HIC,40.0,-4.0,9.0,48807137.0,21.1454438932121,33410.0,,,,,,,99.5671426373018,99.9186164178539,100.0,2.94,,,81.802,5.61044466480471,90.7674536252155,0.3,97.0,94.0,2.5,28.4,
